id,district_id,name
9304092007,930409,Butukatnau
9304092008,930409,Auban
9304092009,930409,Pepera
9304092010,930409,Waijens
9304092011,930409,Bumu
9304092012,930409,Kapayap Satu
9304092013,930409,Kapayap Dua
9304092014,930409,Sipanap
9304102001,930410,Komor
9304102002,930410,Amor
9304102003,930410,Yipawer
9304102004,930410,Berip
9304102005,930410,Ayir
9304102006,930410,Werer
9304102009,930410,Paar
9304112001,930411,Yamas
9304112002,930411,Yeni
9304112003,930411,Omor
9304112004,930411,Jufri
9304112005,930411,Yaun
9304112006,930411,Onavai
9304122001,930412,Kapi
9304122002,930412,As
9304122003,930412,Atat
9304122004,930412,Aou
9304122005,930412,Nakai
9304122006,930412,Esmapan
9304122007,930412,Eroko
9304122008,930412,Yakapis
9304122009,930412,Weo
9304122010,930412,Aoap
9304122011,930412,Fumereipits
9304132001,930413,Warse/Jetsy
9304132002,930413,Powetsy/Amborep
9304132003,930413,Pau
9304132004,930413,Sesakam
9304132005,930413,Akamar
9304132006,930413,Birak
9304132007,930413,Katew
9304132008,930413,Dawer
9304142001,930414,Yamkap
9304142002,930414,Amkum
9304142003,930414,Amaru
9304142004,930414,Amkai
9304142005,930414,Amagais
9304142006,930414,Erosaman
9304152001,930415,Kawem
9304152002,930415,Hahare
9304152003,930415,Aikut
9304152004,930415,Sanem
9304152005,930415,Kaipom
9304152006,930415,Airo Sapem
9304152007,930415,Simipit
9304152008,930415,Heiyaram
9304152009,930415,Wagasu
9304152010,930415,Sasime
9304162001,930416,Primapun
9304162002,930416,Aworket
9304162003,930416,Saman
9304162004,930416,Bayun
9304162005,930416,Semendoro
9304162006,930416,Tareo
9304162007,930416,Kayirim
9304162008,930416,Santambor
9304162009,930416,Yaptambor
9304162010,930416,Simsagar
9304162011,930416,Itersok
9304162012,930416,Emene
9304172001,930417,Yausakor
9304172002,930417,Damen
9304172003,930417,Biwar Darat
9304172004,930417,Kaimo
9304172005,930417,Awok
9304172006,930417,Fos
9304172007,930417,Waganu
9304172008,930417,Sakor
9304182001,930418,Comoro
9304182002,930418,Kawet
9304182003,930418,Mausi
9304182004,930418,Sato Yod
9304182005,930418,Tamor
9304182006,930418,Ero Airo
9304192001,930419,Biwar Laut
9304192002,930419,Atambuts
9304192003,930419,Omanesep
9304192004,930419,Warkai
9304192005,930419,You
9304192006,930419,Pirpis
9304192007,930419,Desep
9304202001,930420,Bor
9304202002,930420,Daikot
9304202003,930420,Somnak
9304202004,930420,Wabak
9304202005,930420,Vakam
9304202006,930420,Vakam Dua
9304202007,930420,Dekamer
9304212001,930421,Piramat
9304212002,930421,Bawos
9304212003,930421,Akan Tapak
9304212004,930421,Tauro
9304212005,930421,Bagair
9304212006,930421,Wiyar
9304212007,930421,Kagas
9304212008,930421,Mapane
9304212009,930421,Ainamsato
9304212010,930421,Amaita
9304222001,930422,Yerfum
9304222002,930422,Suagai
9304222003,930422,Sohomane
9304222004,930422,Sagare
9304222005,930422,Yefuwagi
9304222006,930422,Wagi
9304232001,930423,Mabul
9304232002,930423,Banum
9304232003,930423,Ayak
9304232004,930423,Amakot
9304232005,930423,Nagatun
9304232006,930423,Ujung Batu
9304232007,930423,Kapayap Tiga
9304242001,930424,Tomor
9304242002,930424,Munu
9304242003,930424,Abamu
9304242004,930424,Tie
9304242005,930424,Koba
9304242006,930424,Sagapu
9304242007,930424,Jifak
9304242008,930424,Yensuku
9304252001,930425,Beco
9304252002,930425,Yuni
9304252003,930425,Buetkawar
9304252004,930425,Manep
9304252005,930425,Simini
9304252006,930425,Fakan/Ani
9401011001,940101,Wonorejo
9401011002,940101,Kali Bobo
9401011003,940101,Morgo
9401011004,940101,Girimulyo
9401011005,940101,Karang Tumaritis
9401011006,940101,Oyehe
9401011007,940101,Karang Mulia
9401011008,940101,Nabarua
9401011009,940101,Siriwini
9401012010,940101,Kalisusu
9401012011,940101,Kali Harapan
9401012012,940101,Sanoba
9401022001,940102,Napan
9401022002,940102,Masipawa
9401022003,940102,Weinami
9401032001,940103,Yaur
9401032002,940103,Akudiomi
9401032003,940103,Sima
9401032004,940103,Wami
9401042001,940104,Topo
9401042002,940104,Urumusu
9401042003,940104,Marga Jaya
9401042004,940104,Argo Mulyo
9401042005,940104,Topo Jaya
9401042006,940104,Gamei Jaya
9401052001,940105,Bumi Mulia
9401052002,940105,Karadiri
9401052003,940105,Wanggar Makmur
9401062001,940106,Unipo
9401062002,940106,Aibore
9401062003,940106,Epomani
9401062004,940106,Tibai
9401062005,940106,Mabou
9401062006,940106,Ugida
9401072001,940107,Makimi
9401072002,940107,Nifasi
9401072003,940107,Biha
9401072004,940107,Lagari Jaya
9401072005,940107,Maidei
9401072006,940107,Manunggal Jaya
9401082001,940108,Napan Yaur
9401082002,940108,Yeretuar
9401082003,940108,Bawei
9401082004,940108,Goni
9401092001,940109,Samabusa
9401092002,940109,Waharia
9401092003,940109,Kimi
9401092004,940109,Lani
9401092005,940109,Air Mandidi
9401102001,940110,Wanggar Sari
9401102002,940110,Wiraska
9401102003,940110,Yaro Makmur
9401102004,940110,Jaya Mukti
9401102005,940110,Wanggar Pantai
9401102006,940110,Ororodo
9401102007,940110,Bomopai
9401102008,940110,Parauto
9401112001,940111,Totoberi
9401112002,940111,Samanui
9401112003,940111,Kamarisano
9401112004,940111,Taumi
9401112005,940111,Keuw
9401122001,940112,Bumi Raya
9401122002,940112,Waroki
9401122003,940112,Gerbang Sadu
9401122004,940112,Kali Semen
9401122005,940112,Wadio
9401132001,940113,Mambor
9401132002,940113,Hariti
9401132003,940113,Moor
9401132004,940113,Kama
9401132005,940113,Arui
9401142001,940114,Epouwa
9401142002,940114,Dikiya
9401142003,940114,Tagauto
9401142004,940114,Jigikebo
9401142005,940114,Jainoa
9401152001,940115,Kunupi
9401152002,940115,Ogiyai
9401152003,940115,Lokodimi
9401152004,940115,Yegeugi
9402011010,940201,Wuyukwi
9402011011,940201,Pagaleme
9402012001,940201,Pruleme
9402012002,940201,Wuyukwi
9402012003,940201,Wuyuneri
9402012004,940201,Pepera
9402012005,940201,Muliagambut
9402012006,940201,Trikora
9402012007,940201,Towogi
9402012008,940201,Birak Ambut
9402012009,940201,Usir
9402021021,940202,Wurak
9402022001,940202,Wurak
9402022002,940202,Lambo
9402022003,940202,Pindebaga
9402022004,940202,Dolinggame
9402022005,940202,Belantara
9402022006,940202,Kalengga
9402022007,940202,Pulau Timur
9402022008,940202,Girmor
9402022009,940202,Maka
9402022010,940202,Mobigi
9402022011,940202,Jauria I
9402022012,940202,Gubulome
9402022013,940202,Megawi Megewa
9402022014,940202,Kurikpulok
9402022015,940202,Puky paky
9402022016,940202,Kaninonggo
9402022017,940202,Kirigimaduk
9402022018,940202,Pologengga
9402022019,940202,Ginipago
9402022020,940202,Aulukme
9402032001,940203,Fawi
9402032002,940203,Bakusi
9402032003,940203,Turumo
9402032004,940203,Kaho
