kode,nama
9407012010,Titigi
9407012011,Eknemba
9407012012,Wandoga
9407012013,Pesiga
9407012014,Mblusiga
9407012015,Ndugusiga
9407012016,Kumbalagupa
9407012017,Buwisiga
9407022001,Mapa
9407022002,Bilai
9407022003,Maya
9407022004,Degesiga
9407022005,Pogapa
9407022006,Bamba
9407022007,Zombandoga
9407022008,Kobae
9407022009,Selemama
9407022010,Kendetapa
9407022011,Hiyabu
9407022012,Ogoeapa
9407022013,Bonogo
9407022014,Agapa
9407022015,Engganengga
9407022016,Waiagepa
9407022017,Hugitapa
9407022018,Bubisiga
9407022019,Nggagemba
9407022020,Sanepa
9407022021,Mbomogo
9407032001,Sabisa
9407032002,Dubandoga
9407032003,Debasiga I
9407032004,Debasiga II
9407032005,Isandoga
9407032006,Mogalo
9407032007,Jae
9407032008,Mbugulo
9407032009,Hulagupa
9407042001,Danggatadi
9407042002,Mbiandoga
9407042003,Bugalaga
9407042004,Yagaito
9407042005,Kalawa
9407042006,Yanei
9407042007,Maniuwo
9407042008,Tunggapo
9407042009,Pagamba
9407042010,Maolagi
9407042011,Aneya
9407042012,Kigitadi
9407042013,Ndabatadi
9407042014,Moyomataga
9407042015,Pitadi
9407042016,Ular Merah
9407052001,Agisiga
9407052002,Tausiga
9407052003,Unabundoga
9407052004,Mbamogo
9407052005,Jenetapa Janasiga
9407052006,Soali
9407052007,Tambage
9407052008,Nabia
9407052009,Danggoa
9407052010,Kombogosiga
9407062001,Wabui
9407062002,Balaimai
9407062003,Janamba
9407062004,Kulapa
9407062005,Pugisiga
9407062006,Hitadipa
9407062007,Soanggama
9407062008,Danggomba
9407062009,Sakumba
9407072001,Ugimba
9407072002,Bunaopa
9407072003,Pigabu
9407072004,Teteopa
9407072005,Dukendopa
9407072006,Nggamagae
9407082001,Tomosiga
9407082002,Bigasiga
9407082003,Dapiaga
9407082004,Pewesiga
9407082005,Hegenagai
9407082006,Gaimigi
9407082007,Jawasiga
9407082008,Duginggobo
9407082009,Sugulubagala
9408012001,Waghete I
9408012002,Ugiya
9408012003,Yaba
9408012004,Waghete II
9408012005,Bomau I
9408012006,Okomakebo
9408012007,Bamou II
9408012008,Atouda
9408012009,Oneibo
9408012010,Yaba II
9408012011,Mugouda
9408012012,Bomou III
9408012013,Okomotadi
9408012014,Buwoudimi
9408012015,Ibodiyo
9408012016,Ikiyawo
9408012017,Motano
9408012018,Amago
9408012019,Idege
9408012020,Peku
9408022001,Damabagata
9408022002,Kokobaya
9408022003,Watiyai
9408022004,Edagotadi
9408022005,Dakebo
9408022006,Bagou
9408022007,Dagokebo
9408022008,Ipoke
9408022009,Waitakotu
9408022010,Pekepa
9408022011,Bagumoma
9408022012,Udaugida
9408022013,Bagou II
9408022014,Idayodagi
9408032001,Kopai I
9408032002,Kopai II
9408032003,Woge
9408032004,Yewadide
9408032005,Mudetadi
9408032006,Diita
9408042001,Gakokebo
9408042002,Demago
9408042003,Widuwakiya
9408042004,Onago
9408042005,Wagomani
9408042006,Digibagata
9408042007,Piyekedimi
9408042008,Ayatei
9408042009,Tenedagi
9408042010,Diyai
9408042011,Jinidaba
9408042012,Widimei
9408042013,Yagu
9408042014,Obai
9408042015,Yipai
9408042016,Diyai II
9408042017,Meyepa
9408042018,Kogemani
9408042019,Digikotu
9408042020,Onago II
9408042021,Maatadi
9408042022,Epanai
9408052001,Komauto/Kapiraya
9408052002,Mogodagi
9408052003,Yamouwitina
9408052004,Idego
9408052005,Uwe Onagei
